ItemType,ReceivedQuantity,SoldQuantity,EndQuantity,LatestOrder,StockedOut,GroupID,MissedSales,Days,Weekday,National Holiday
Core,6.0,6.0,0.0,9,1,3.0,1.934296,1.0,1,0
Core,8.0,3.0,8.0,16,0,3.0,0.0,1.0,1,0
Core,6.0,5.0,0.0,10,1,3.0,1.929191,1.0,1,0
Unassigned,2.0,4.0,0.0,16,0,3.0,0.0,5.0,1,0
Unassigned,3.0,0.0,3.0,0,0,3.0,0.0,5.0,1,0
Core,6.0,5.0,0.0,9,1,3.0,3.018607,5.0,1,0
Core,8.0,4.0,0.0,14,0,3.0,0.0,5.0,1,0
Core,8.0,2.0,1.0,10,0,3.0,0.0,5.0,1,0
Core,8.0,6.0,0.0,18,0,3.0,0.0,5.0,1,0
Core,6.0,2.0,0.0,12,0,3.0,0.0,5.0,1,0
Unassigned,2.0,3.0,-2.0,10,1,3.0,1.130393,5.0,1,0
Core,8.0,6.0,0.0,14,0,3.0,0.0,5.0,1,0
Core,6.0,4.0,0.0,13,0,3.0,0.0,5.0,1,0
Core,8.0,3.0,8.0,11,0,3.0,0.0,5.0,1,0
Core,8.0,4.0,0.0,14,0,3.0,0.0,5.0,1,0
Unassigned,2.0,2.0,1.0,20,0,3.0,0.0,6.0,1,0
Unassigned,3.0,4.0,3.0,19,0,3.0,0.0,6.0,1,0
Core,6.0,4.0,0.0,10,0,3.0,0.0,6.0,1,0
Core,6.0,6.0,0.0,17,1,3.0,0.296765,6.0,1,0
Core,8.0,5.0,0.0,14,0,3.0,0.0,6.0,1,0
Core,8.0,8.0,0.0,14,1,3.0,0.998266,6.0,1,0
Core,6.0,1.0,0.0,11,0,3.0,0.0,6.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,6.0,1,0
Unassigned,2.0,2.0,0.0,12,0,3.0,0.0,6.0,1,0
Core,8.0,8.0,0.0,21,0,3.0,0.0,6.0,1,0
Core,8.0,6.0,0.0,15,0,3.0,0.0,6.0,1,0
Core,8.0,3.0,8.0,14,0,3.0,0.0,6.0,1,0
Core,8.0,5.0,0.0,18,0,3.0,0.0,6.0,1,0
Unassigned,2.0,2.0,0.0,13,1,3.0,0.834225,4.0,1,1
Unassigned,2.0,4.0,1.0,19,0,3.0,0.0,4.0,1,1
Core,12.0,5.0,6.0,10,0,3.0,0.0,4.0,1,1
Core,6.0,6.0,0.0,10,1,3.0,2.060422,4.0,1,1
Core,6.0,7.0,0.0,13,1,3.0,0.982799,4.0,1,1
Core,6.0,5.0,0.0,15,1,3.0,0.79684,4.0,1,1
Core,4.0,4.0,0.0,13,1,3.0,0.973564,4.0,1,1
Core,2.0,1.0,0.0,13,1,3.0,1.104571,4.0,1,1
Unassigned,2.0,1.0,1.0,9,0,3.0,0.0,4.0,1,1
Core,6.0,5.0,0.0,15,1,3.0,0.640232,4.0,1,1
Core,4.0,3.0,0.0,11,1,3.0,1.035724,4.0,1,1
Core,8.0,2.0,8.0,9,0,3.0,0.0,4.0,1,1
Core,6.0,5.0,0.0,14,1,3.0,0.779871,4.0,1,1
Unassigned,3.0,2.0,1.0,13,0,3.0,0.0,0.0,1,0
Unassigned,3.0,2.0,1.0,14,0,3.0,0.0,0.0,1,0
Core,0.0,6.0,0.0,13,1,3.0,0.498115,0.0,1,0
Core,8.0,8.0,0.0,13,1,3.0,0.97086,0.0,1,0
Core,8.0,8.0,0.0,16,1,3.0,0.441586,0.0,1,0
Core,8.0,7.0,0.0,16,1,3.0,0.5807,0.0,1,0
Core,6.0,4.0,0.0,20,0,3.0,0.0,0.0,1,0
Core,2.0,0.0,2.0,0,0,3.0,0.0,0.0,1,0
Unassigned,2.0,1.0,2.0,12,0,3.0,0.0,0.0,1,0
Core,6.0,5.0,0.0,14,1,3.0,0.797588,0.0,1,0
Core,8.0,4.0,0.0,10,0,3.0,0.0,0.0,1,0
Core,8.0,4.0,12.0,17,0,3.0,0.0,0.0,1,0
Core,8.0,5.0,0.0,19,0,3.0,0.0,0.0,1,0
Unassigned,2.0,0.0,2.0,0,0,3.0,0.0,2.0,0,0
Unassigned,0.0,1.0,0.0,8,1,3.0,1.30862,2.0,0,0
Core,6.0,3.0,0.0,13,0,3.0,0.0,2.0,0,0
Core,8.0,5.0,0.0,18,0,3.0,0.0,2.0,0,0
Core,8.0,4.0,0.0,20,0,3.0,0.0,2.0,0,0
Core,8.0,7.0,0.0,19,1,3.0,0.154426,2.0,0,0
Core,6.0,4.0,0.0,11,0,3.0,0.0,2.0,0,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,2.0,0,0
Unassigned,2.0,1.0,2.0,9,0,3.0,0.0,2.0,0,0
Core,6.0,4.0,0.0,20,0,3.0,0.0,2.0,0,0
Core,8.0,9.0,0.0,14,1,3.0,0.460201,2.0,0,0
Core,8.0,3.0,0.0,18,0,3.0,0.0,2.0,0,0
Core,8.0,7.0,0.0,17,1,3.0,0.320115,2.0,0,0
Unassigned,2.0,1.0,2.0,13,0,3.0,0.0,3.0,0,0
Unassigned,2.0,1.0,0.0,13,1,3.0,0.361852,3.0,0,0
Core,6.0,5.0,0.0,11,1,3.0,1.188279,3.0,0,0
Core,8.0,6.0,0.0,20,0,3.0,0.0,3.0,0,0
Core,8.0,5.0,0.0,14,0,3.0,0.0,3.0,0,0
Core,8.0,6.0,0.0,20,0,3.0,0.0,3.0,0,0
Core,6.0,5.0,0.0,18,1,3.0,0.219064,3.0,0,0
Core,2.0,2.0,17.0,16,0,3.0,0.0,3.0,0,0
Unassigned,2.0,2.0,1.0,11,0,3.0,0.0,3.0,0,0
Core,6.0,5.0,0.0,16,1,3.0,0.481599,3.0,0,0
Core,8.0,3.0,0.0,18,0,3.0,0.0,3.0,0,0
Core,64.0,9.0,16.0,18,0,3.0,0.0,3.0,0,0
Core,8.0,8.0,0.0,10,1,3.0,1.929191,3.0,0,0
Unassigned,3.0,5.0,1.0,20,0,3.0,0.0,1.0,1,0
Unassigned,3.0,0.0,3.0,0,0,3.0,0.0,1.0,1,0
Core,6.0,4.0,0.0,13,0,3.0,0.0,1.0,1,0
Core,6.0,5.0,0.0,20,0,3.0,0.0,1.0,1,0
Core,8.0,5.0,0.0,20,0,3.0,0.0,1.0,1,0
Core,8.0,5.0,0.0,19,0,3.0,0.0,1.0,1,0
Core,6.0,5.0,0.0,20,0,3.0,0.0,1.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,1.0,1,0
Unassigned,3.0,5.0,0.0,13,1,3.0,0.434975,1.0,1,0
Core,8.0,4.0,0.0,18,0,3.0,0.0,1.0,1,0
Core,8.0,3.0,0.0,18,0,3.0,0.0,1.0,1,0
Core,8.0,6.0,0.0,9,0,3.0,0.0,1.0,1,0
Core,8.0,8.0,0.0,19,1,3.0,0.131753,1.0,1,0
Unassigned,3.0,1.0,3.0,20,0,3.0,0.0,5.0,1,0
Unassigned,3.0,1.0,3.0,16,0,3.0,0.0,5.0,1,0
Core,6.0,3.0,0.0,13,0,3.0,0.0,5.0,1,0
Core,6.0,4.0,0.0,13,0,3.0,0.0,5.0,1,0
Core,6.0,5.0,0.0,12,1,3.0,1.244284,5.0,1,0
Core,8.0,6.0,0.0,19,0,3.0,0.0,5.0,1,0
Core,6.0,1.0,0.0,15,0,3.0,0.0,5.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,5.0,1,0
Unassigned,3.0,3.0,0.0,12,1,3.0,0.611476,5.0,1,0
Core,8.0,5.0,0.0,17,0,3.0,0.0,5.0,1,0
Core,6.0,4.0,0.0,17,0,3.0,0.0,5.0,1,0
Core,8.0,6.0,0.0,18,0,3.0,0.0,5.0,1,0
Core,6.0,3.0,0.0,19,0,3.0,0.0,5.0,1,0
Unassigned,2.0,2.0,2.0,13,0,3.0,0.0,6.0,1,0
Unassigned,3.0,0.0,3.0,0,0,3.0,0.0,6.0,1,0
Core,6.0,5.0,0.0,12,1,3.0,0.749616,6.0,1,0
Core,8.0,1.0,0.0,16,0,3.0,0.0,6.0,1,0
Core,6.0,6.0,0.0,12,1,3.0,1.244284,6.0,1,0
Core,10.0,5.0,0.0,18,0,3.0,0.0,6.0,1,0
Core,4.0,4.0,0.0,10,1,3.0,1.930618,6.0,1,0
Core,2.0,1.0,0.0,17,1,3.0,0.380851,6.0,1,0
Unassigned,2.0,1.0,1.0,9,0,3.0,0.0,6.0,1,0
Core,8.0,4.0,0.0,13,0,3.0,0.0,6.0,1,0
Core,8.0,4.0,0.0,13,0,3.0,0.0,6.0,1,0
Core,0.0,1.0,0.0,9,0,3.0,0.0,6.0,1,0
Core,6.0,4.0,0.0,16,0,3.0,0.0,6.0,1,0
Unassigned,3.0,2.0,3.0,17,0,3.0,0.0,4.0,1,0
Unassigned,3.0,0.0,3.0,0,0,3.0,0.0,4.0,1,0
Core,9.0,4.0,0.0,13,0,3.0,0.0,4.0,1,0
Core,6.0,3.0,-2.0,12,0,3.0,0.0,4.0,1,0
Core,8.0,6.0,0.0,11,0,3.0,0.0,4.0,1,0
Core,8.0,6.0,-2.0,20,0,3.0,0.0,4.0,1,0
Core,4.0,3.0,0.0,19,1,3.0,0.132804,4.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,4.0,1,0
Unassigned,3.0,3.0,1.0,8,0,3.0,0.0,4.0,1,0
Core,8.0,6.0,0.0,16,0,3.0,0.0,4.0,1,0
Core,6.0,3.0,0.0,19,0,3.0,0.0,4.0,1,0
Core,8.0,1.0,7.0,7,0,3.0,0.0,4.0,1,0
Core,6.0,6.0,0.0,15,1,3.0,0.620563,4.0,1,0
Unassigned,3.0,4.0,2.0,14,0,3.0,0.0,0.0,1,0
Unassigned,2.0,2.0,2.0,10,0,3.0,0.0,0.0,1,0
Core,9.0,6.0,0.0,10,0,3.0,0.0,0.0,1,0
Core,8.0,2.0,0.0,15,0,3.0,0.0,0.0,1,0
Core,10.0,4.0,0.0,16,0,3.0,0.0,0.0,1,0
Core,8.0,5.0,0.0,21,0,3.0,0.0,0.0,1,0
Core,6.0,4.0,0.0,21,0,3.0,0.0,0.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,0.0,1,0
Unassigned,2.0,3.0,0.0,10,1,3.0,1.130393,0.0,1,0
Core,6.0,5.0,0.0,12,1,3.0,1.206445,0.0,1,0
Core,6.0,3.0,0.0,14,0,3.0,0.0,0.0,1,0
Core,8.0,5.0,8.0,14,0,3.0,0.0,0.0,1,0
Core,8.0,8.0,0.0,13,1,3.0,0.946537,0.0,1,0
Unassigned,3.0,0.0,3.0,0,0,3.0,0.0,2.0,0,0
Unassigned,2.0,0.0,2.0,0,0,3.0,0.0,2.0,0,0
Core,6.0,3.0,0.0,13,0,3.0,0.0,2.0,0,0
Core,8.0,5.0,0.0,14,0,3.0,0.0,2.0,0,0
Core,8.0,0.0,0.0,0,0,3.0,0.0,2.0,0,0
Core,8.0,3.0,0.0,20,0,3.0,0.0,2.0,0,0
Core,6.0,4.0,0.0,13,0,3.0,0.0,2.0,0,0
Core,2.0,1.0,1.0,18,0,3.0,0.0,2.0,0,0
Unassigned,2.0,2.0,0.0,8,1,3.0,1.830691,2.0,0,0
Core,6.0,5.0,0.0,16,1,3.0,0.481599,2.0,0,0
Core,6.0,4.0,0.0,16,0,3.0,0.0,2.0,0,0
Core,8.0,2.0,8.0,11,0,3.0,0.0,2.0,0,0
Core,6.0,6.0,0.0,12,1,3.0,1.152016,2.0,0,0
Unassigned,2.0,4.0,1.0,15,0,3.0,0.0,3.0,0,0
Unassigned,2.0,4.0,0.0,15,1,3.0,0.195563,3.0,0,0
Core,6.0,5.0,0.0,16,1,3.0,0.136181,3.0,0,0
Core,6.0,6.0,0.0,16,0,3.0,0.0,3.0,0,0
Core,8.0,6.0,0.0,14,0,3.0,0.0,3.0,0,0
Core,8.0,5.0,0.0,16,0,3.0,0.0,3.0,0,0
Core,6.0,4.0,0.0,20,0,3.0,0.0,3.0,0,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,3.0,0,0
Unassigned,2.0,1.0,1.0,14,0,3.0,0.0,3.0,0,0
Core,6.0,5.0,0.0,16,1,3.0,0.481599,3.0,0,0
Core,6.0,3.0,0.0,13,0,3.0,0.0,3.0,0,0
Core,8.0,3.0,8.0,15,0,3.0,0.0,3.0,0,0
Core,6.0,5.0,0.0,16,1,3.0,0.461405,3.0,0,0
Unassigned,5.0,3.0,3.0,18,0,3.0,0.0,1.0,1,0
Unassigned,2.0,2.0,0.0,14,1,3.0,0.26358,1.0,1,0
Core,6.0,7.0,0.0,9,1,3.0,3.018607,1.0,1,0
Core,6.0,6.0,0.0,12,1,3.0,1.19203,1.0,1,0
Core,8.0,4.0,0.0,14,0,3.0,0.0,1.0,1,0
Core,6.0,4.0,0.0,19,0,3.0,0.0,1.0,1,0
Core,6.0,2.0,0.0,9,0,3.0,0.0,1.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,1.0,1,0
Unassigned,5.0,3.0,3.0,8,0,3.0,0.0,1.0,1,0
Core,6.0,4.0,0.0,15,0,3.0,0.0,1.0,1,0
Core,6.0,6.0,0.0,14,1,3.0,0.460201,1.0,1,0
Core,8.0,7.0,8.0,10,0,3.0,0.0,1.0,1,0
Core,8.0,5.0,0.0,19,0,3.0,0.0,1.0,1,0
Unassigned,4.0,1.0,4.0,12,0,3.0,0.0,5.0,1,0
Unassigned,1.0,1.0,0.0,8,1,3.0,1.30862,5.0,1,0
Core,6.0,4.0,-1.0,14,0,3.0,0.0,5.0,1,0
Core,6.0,3.0,1.0,11,0,3.0,0.0,5.0,1,0
Core,8.0,5.0,2.0,15,0,3.0,0.0,5.0,1,0
Core,10.0,4.0,0.0,15,0,3.0,0.0,5.0,1,0
Core,6.0,4.0,0.0,15,0,3.0,0.0,5.0,1,0
Core,2.0,1.0,0.0,15,1,3.0,0.738732,5.0,1,0
Unassigned,3.0,2.0,3.0,13,0,3.0,0.0,5.0,1,0
Core,6.0,5.0,0.0,18,1,3.0,0.233403,5.0,1,0
Core,6.0,3.0,0.0,18,0,3.0,0.0,5.0,1,0
Core,8.0,1.0,8.0,12,0,3.0,0.0,5.0,1,0
Core,8.0,4.0,1.0,19,0,3.0,0.0,5.0,1,0
Unassigned,3.0,6.0,2.0,19,0,3.0,0.0,6.0,1,0
Unassigned,2.0,0.0,2.0,0,0,3.0,0.0,6.0,1,0
Core,6.0,6.0,0.0,13,1,3.0,0.498115,6.0,1,0
Core,6.0,3.0,0.0,16,0,3.0,0.0,6.0,1,0
Core,6.0,6.0,0.0,12,0,3.0,0.0,6.0,1,0
Core,6.0,7.0,0.0,12,1,3.0,1.477843,6.0,1,0
Core,6.0,6.0,0.0,19,1,3.0,0.132804,6.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,6.0,1,0
Unassigned,3.0,5.0,0.0,12,1,3.0,0.611476,6.0,1,0
Core,6.0,6.0,0.0,16,1,3.0,0.481599,6.0,1,0
Core,6.0,1.0,0.0,7,0,3.0,0.0,6.0,1,0
Core,8.0,3.0,8.0,18,0,3.0,0.0,6.0,1,0
Core,6.0,2.0,0.0,19,0,3.0,0.0,6.0,1,0
Unassigned,3.0,0.0,3.0,0,0,3.0,0.0,4.0,1,0
Unassigned,1.0,1.0,1.0,19,0,3.0,0.0,4.0,1,0
Core,6.0,2.0,0.0,11,0,3.0,0.0,4.0,1,0
Core,6.0,5.0,-2.0,14,0,3.0,0.0,4.0,1,0
Core,8.0,5.0,1.0,15,0,3.0,0.0,4.0,1,0
Core,6.0,3.0,0.0,15,0,3.0,0.0,4.0,1,0
Core,4.0,1.0,0.0,12,0,3.0,0.0,4.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,4.0,1,0
Unassigned,4.0,3.0,1.0,16,0,3.0,0.0,4.0,1,0
Core,6.0,5.0,0.0,18,1,3.0,0.233403,4.0,1,0
Core,4.0,3.0,0.0,9,1,3.0,1.934296,4.0,1,0
Core,8.0,4.0,8.0,10,0,3.0,0.0,4.0,1,0
Core,8.0,3.0,1.0,19,0,3.0,0.0,4.0,1,0
Unassigned,4.0,4.0,2.0,22,0,3.0,0.0,0.0,1,0
Unassigned,3.0,3.0,0.0,12,1,3.0,0.496536,0.0,1,0
Core,6.0,3.0,0.0,9,0,3.0,0.0,0.0,1,0
Core,6.0,6.0,0.0,12,0,3.0,0.0,0.0,1,0
Core,8.0,4.0,0.0,13,0,3.0,0.0,0.0,1,0
Core,8.0,9.0,0.0,12,1,3.0,1.477843,0.0,1,0
Core,6.0,4.0,0.0,21,0,3.0,0.0,0.0,1,0
Core,2.0,1.0,0.0,16,1,3.0,0.536481,0.0,1,0
Unassigned,3.0,3.0,0.0,8,1,3.0,1.830691,0.0,1,0
Core,8.0,7.0,0.0,12,1,3.0,1.206445,0.0,1,0
Core,6.0,4.0,0.0,19,0,3.0,0.0,0.0,1,0
Core,8.0,2.0,8.0,10,0,3.0,0.0,0.0,1,0
Core,8.0,5.0,0.0,12,0,3.0,0.0,0.0,1,0
Unassigned,1.0,2.0,0.0,8,1,3.0,1.93835,2.0,0,0
Unassigned,1.0,1.0,0.0,15,1,3.0,0.195563,2.0,0,0
Core,6.0,2.0,0.0,10,0,3.0,0.0,2.0,0,0
Core,6.0,6.0,0.0,13,0,3.0,0.0,2.0,0,0
Core,6.0,3.0,0.0,17,0,3.0,0.0,2.0,0,0
Core,6.0,4.0,0.0,18,0,3.0,0.0,2.0,0,0
Core,6.0,2.0,0.0,9,0,3.0,0.0,2.0,0,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,2.0,0,0
Unassigned,3.0,2.0,2.0,20,0,3.0,0.0,2.0,0,0
Core,6.0,5.0,0.0,19,1,3.0,0.139485,2.0,0,0
Core,6.0,4.0,0.0,14,0,3.0,0.0,2.0,0,0
Core,8.0,3.0,8.0,12,0,3.0,0.0,2.0,0,0
Core,8.0,3.0,0.0,18,0,3.0,0.0,2.0,0,0
Unassigned,4.0,2.0,2.0,18,0,3.0,0.0,3.0,0,0
Unassigned,3.0,2.0,0.0,15,1,3.0,0.195563,3.0,0,0
Core,6.0,5.0,0.0,13,1,3.0,0.498115,3.0,0,0
Core,6.0,6.0,0.0,13,1,3.0,0.97086,3.0,0,0
Core,6.0,4.0,0.0,13,0,3.0,0.0,3.0,0,0
Core,6.0,2.0,0.0,16,0,3.0,0.0,3.0,0,0
Core,4.0,4.0,0.0,15,1,3.0,0.637605,3.0,0,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,3.0,0,0
Unassigned,2.0,4.0,0.0,16,1,3.0,0.164558,3.0,0,0
Core,6.0,4.0,0.0,16,0,3.0,0.0,3.0,0,0
Core,4.0,1.0,0.0,11,0,3.0,0.0,3.0,0,0
Core,8.0,6.0,8.0,20,0,3.0,0.0,3.0,0,0
Core,6.0,3.0,0.0,16,0,3.0,0.0,3.0,0,0
Unassigned,3.0,1.0,3.0,14,0,3.0,0.0,1.0,1,0
Unassigned,3.0,0.0,3.0,0,0,3.0,0.0,1.0,1,0
Core,6.0,5.0,0.0,15,1,3.0,0.224694,1.0,1,0
Core,6.0,4.0,0.0,12,0,3.0,0.0,1.0,1,0
Core,8.0,7.0,0.0,19,1,3.0,0.107429,1.0,1,0
Core,8.0,6.0,0.0,20,0,3.0,0.0,1.0,1,0
Core,4.0,3.0,0.0,20,1,3.0,0.063961,1.0,1,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,1.0,1,0
Unassigned,4.0,3.0,0.0,10,1,3.0,1.130393,1.0,1,0
Core,6.0,2.0,0.0,19,0,3.0,0.0,1.0,1,0
Core,6.0,4.0,0.0,17,0,3.0,0.0,1.0,1,0
Core,8.0,1.0,14.0,11,0,3.0,0.0,1.0,1,0
Core,6.0,5.0,0.0,19,1,3.0,0.131753,1.0,1,0
Unassigned,1.0,2.0,0.0,12,0,3.0,0.0,5.0,1,0
Unassigned,2.0,2.0,2.0,12,0,3.0,0.0,5.0,1,0
Core,6.0,4.0,0.0,15,0,3.0,0.0,5.0,1,0
Core,6.0,3.0,0.0,17,0,3.0,0.0,5.0,1,0
Core,6.0,3.0,0.0,18,0,3.0,0.0,5.0,1,0
Core,6.0,2.0,0.0,12,0,3.0,0.0,5.0,1,0
Core,6.0,3.0,0.0,10,0,3.0,0.0,5.0,1,0
Core,2.0,1.0,0.0,14,1,3.0,0.934827,5.0,1,0
Unassigned,2.0,2.0,0.0,10,1,3.0,1.130393,5.0,1,0
Core,6.0,3.0,0.0,13,0,3.0,0.0,5.0,1,0
Core,4.0,4.0,0.0,19,1,3.0,0.062383,5.0,1,0
Core,8.0,5.0,8.0,10,0,3.0,0.0,5.0,1,0
Core,6.0,2.0,0.0,20,0,3.0,0.0,5.0,1,0
Unassigned,3.0,2.0,1.0,15,0,3.0,0.0,6.0,1,0
Unassigned,2.0,3.0,2.0,13,0,3.0,0.0,6.0,1,0
Core,6.0,5.0,0.0,13,1,3.0,0.498115,6.0,1,0
Core,4.0,4.0,0.0,14,1,3.0,0.783774,6.0,1,0
Core,6.0,5.0,0.0,14,1,3.0,0.791434,6.0,1,0
Core,6.0,6.0,0.0,12,1,3.0,1.477843,6.0,1,0
Core,6.0,4.0,0.0,19,0,3.0,0.0,6.0,1,0
Core,2.0,2.0,0.0,16,0,3.0,0.0,6.0,1,0
Unassigned,2.0,2.0,0.0,8,1,3.0,1.830691,6.0,1,0
Core,6.0,2.0,0.0,10,0,3.0,0.0,6.0,1,0
Core,6.0,1.0,0.0,9,0,3.0,0.0,6.0,1,0
Core,8.0,2.0,8.0,8,0,3.0,0.0,6.0,1,0
Core,6.0,5.0,0.0,20,1,3.0,0.063586,6.0,1,0
Unassigned,2.0,1.0,2.0,8,0,3.0,0.0,4.0,1,0
Unassigned,2.0,1.0,2.0,11,0,3.0,0.0,4.0,1,0
Core,6.0,4.0,-1.0,10,0,3.0,0.0,4.0,1,0
Core,6.0,5.0,0.0,11,1,3.0,1.528666,4.0,1,0
Core,6.0,3.0,1.0,18,0,3.0,0.0,4.0,1,0
Core,6.0,6.0,0.0,18,1,3.0,0.265011,4.0,1,0
Core,4.0,3.0,0.0,12,1,3.0,1.176041,4.0,1,0
Core,2.0,1.0,0.0,14,1,3.0,0.934827,4.0,1,0
Unassigned,3.0,3.0,0.0,10,1,3.0,1.130393,4.0,1,0
Core,6.0,4.0,0.0,14,0,3.0,0.0,4.0,1,0
Core,4.0,1.0,1.0,13,0,3.0,0.0,4.0,1,0
Core,8.0,1.0,8.0,10,0,3.0,0.0,4.0,1,0
Core,6.0,6.0,0.0,9,1,3.0,2.516878,4.0,1,0
Unassigned,3.0,0.0,3.0,0,0,3.0,0.0,0.0,1,0
Unassigned,3.0,1.0,3.0,9,0,3.0,0.0,0.0,1,0
Core,6.0,1.0,0.0,6,0,3.0,0.0,0.0,1,0
Core,4.0,2.0,0.0,13,0,3.0,0.0,0.0,1,0
Core,6.0,6.0,0.0,12,1,3.0,1.244284,0.0,1,0
Core,8.0,11.0,0.0,20,0,3.0,0.0,0.0,1,0
Core,6.0,4.0,0.0,20,0,3.0,0.0,0.0,1,0
Core,2.0,3.0,0.0,17,0,3.0,0.0,0.0,1,0
Unassigned,3.0,3.0,0.0,12,1,3.0,0.611476,0.0,1,0
Core,6.0,6.0,0.0,18,1,3.0,0.233403,0.0,1,0
Core,6.0,6.0,0.0,12,1,3.0,0.767707,0.0,1,0
Core,8.0,4.0,8.0,12,0,3.0,0.0,0.0,1,0
Core,6.0,6.0,0.0,18,1,3.0,0.214485,0.0,1,0
Unassigned,2.0,3.0,1.0,15,0,3.0,0.0,2.0,0,0
Unassigned,2.0,2.0,2.0,14,0,3.0,0.0,2.0,0,0
Core,6.0,2.0,0.0,10,0,3.0,0.0,2.0,0,0
Core,6.0,6.0,0.0,19,1,3.0,0.11456,2.0,0,0
Core,8.0,3.0,0.0,14,0,3.0,0.0,2.0,0,0
Core,6.0,4.0,0.0,11,0,3.0,0.0,2.0,0,0
Core,4.0,4.0,0.0,10,1,3.0,1.930618,2.0,0,0
Core,2.0,2.0,0.0,14,0,3.0,0.0,2.0,0,0
Unassigned,3.0,2.0,1.0,9,0,3.0,0.0,2.0,0,0
Core,6.0,5.0,0.0,19,1,3.0,0.139485,2.0,0,0
Core,6.0,3.0,0.0,10,0,3.0,0.0,2.0,0,0
Core,8.0,3.0,0.0,14,0,3.0,0.0,2.0,0,0
Core,6.0,6.0,0.0,14,1,3.0,0.779871,2.0,0,0
Unassigned,2.0,1.0,0.0,11,0,3.0,0.0,3.0,0,0
Unassigned,2.0,0.0,0.0,0,0,3.0,0.0,3.0,0,0
Core,6.0,6.0,0.0,13,0,3.0,0.0,3.0,0,0
Core,6.0,3.0,0.0,11,0,3.0,0.0,3.0,0,0
Core,6.0,5.0,0.0,14,1,3.0,0.791434,3.0,0,0
Core,4.0,3.0,0.0,9,1,3.0,3.212675,3.0,0,0
Core,4.0,2.0,0.0,9,0,3.0,0.0,3.0,0,0
Core,2.0,0.0,0.0,0,0,3.0,0.0,3.0,0,0
